,N,size,br_hrane_po_stepenu,br_stepena_otrovnosti,agent_memory_size,agent_walk_energy
35,0.495,0.9971,0.19219999999999998,0.0,0.11910000000000001,1.0
36,0.5034,0.9977,0.04745,0.0,0.10825,1.0
37,0.4831,0.9969,0.0413,0.0,0.0945,1.0
38,0.51455,0.9979,0.0303,0.01,0.06570000000000001,1.0
39,0.5209,0.99815,0.0201,0.0,0.11845,1.0
40,0.53915,0.9981,0.0001,0.01,0.11864999999999999,1.0
41,0.5149,0.99855,0.0,0.01,0.1421,1.0
42,0.5264,0.9991,0.0199,0.0,0.11545,1.0
43,0.5137,0.9991,0.0,0.0,0.1631,1.0
44,0.4945,0.9996,0.0,0.0158,0.0903,1.0
45,0.5177,0.9996,0.0099,0.0,0.09625,1.0
46,0.4959,0.9994,0.0,0.02,0.1285,1.0
47,0.5303,0.9998,0.0,0.0,0.1018,1.0
48,0.56485,0.1298,0.7353999999999999,0.8244,0.92145,0.0
49,0.5146999999999999,0.1595,0.5856,0.6671,0.61715,0.004
50,0.4879,0.77195,0.4612,0.1049,0.39075,0.9998
51,0.5383,0.8676,0.4313,0.0236,0.2805,1.0
52,0.54225,0.9123,0.3607,0.0099,0.2818,1.0
53,0.56365,0.93445,0.38705,0.0,0.20045,1.0
54,0.5445,0.94775,0.34700000000000003,0.0,0.1913,1.0
55,0.52945,0.95805,0.31639999999999996,0.0,0.18655,1.0
56,0.52415,0.9586,0.33254999999999996,0.03,0.15325000000000003,1.0
57,0.5243,0.96795,0.29109999999999997,0.0199,0.1729,1.0
58,0.49005,0.9642,0.31555,0.0,0.1629,1.0
59,0.5095,0.9768,0.2765,0.0,0.1771,1.0
60,0.51845,0.9819,0.0801,0.0,0.15435000000000001,1.0
61,0.4961,0.9753499999999999,0.0745,0.0,0.1473,1.0
62,0.53105,0.9818,0.0369,0.0099,0.1143,1.0
63,0.5354,0.9817,0.0222,0.0,0.1518,1.0
64,0.5559499999999999,0.9849,0.003,0.01,0.1636,1.0
65,0.5313,0.9848,0.0006,0.01,0.18615,1.0
66,0.5439,0.9898,0.02,0.0,0.15059999999999998,1.0
67,0.5307,0.98825,0.0004,0.0,0.20265,1.0
68,0.508,0.9928,0.0,0.018,0.1305,1.0
69,0.5301,0.9923,0.0099,0.0,0.13245,1.0
70,0.5075,0.99305,0.0,0.02,0.17225000000000001,1.0
71,0.5475,0.9939,0.0,0.0,0.13405,1.0
72,0.58705,0.0978,0.7646499999999999,0.95785,0.9423,0.0
73,0.52595,0.0545,0.63105,0.9362,0.7339,0.0
74,0.5121,0.22805,0.5388,0.8951,0.60925,0.0002
75,0.5536,0.6602,0.47345,0.1219,0.371,0.9997
76,0.5657,0.77015,0.39749999999999996,0.0247,0.3648,1.0
77,0.58225,0.83065,0.42765,0.0119,0.27565,1.0
78,0.56195,0.8674499999999999,0.38634999999999997,0.0185,0.25234999999999996,1.0
79,0.5392,0.8969,0.35375,0.004,0.2443,1.0
80,0.5218,0.8996,0.37005,0.0338,0.2049,1.0
81,0.5241,0.9214,0.32595,0.0201,0.22585,1.0
82,0.48545,0.914,0.35605,0.0,0.20909999999999998,1.0
83,0.4972,0.93845,0.31384999999999996,0.0,0.22625,1.0
84,0.51125,0.94755,0.0953,0.0,0.1976,1.0
85,0.4806,0.93855,0.0841,0.0,0.19675,1.0
86,0.52685,0.9477,0.039,0.01,0.15664999999999998,1.0
87,0.5285,0.9475,0.0239,0.0,0.1841,1.0
